average_execution_times,average_service_times,average_transmision_times,average_vehicle_SINRs,average_vehicle_intar_interference,average_vehicle_inter_interference,average_vehicle_interferences,average_wired_transmission_times,cumulative_reward,episode_length,episode_return,episodes,local_rate,offload_rate,service_rate,steps,steps_per_second
6.416904633320441,11.411337795161815,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3644343342278242,172.5271553352048,300,"[ 33.69856324  51.22858096  31.26639559  34.74307136  38.01370895
  33.14055774  28.31698634  40.82223056  26.64753673 172.52715534]",11,0.11179970252850768,0.8882002974714923,0.5664352999504214,3300,91.05821340263542
6.524347566695992,11.51875873653094,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3644123422213864,168.98649546188233,300,"[ 31.60576988  48.99284403  31.89498273  32.70234827  38.14645525
  31.20868924  28.99943397  39.57937786  26.84118018 168.98649546]",12,0.11105602379771938,0.8889439762022806,0.5557759048091224,3600,88.07111979890836
6.635812855359435,11.629089172513384,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36327748954038913,166.423632898749,300,"[ 32.48032355  44.17098997  29.18768165  36.39585511  38.67741722
  31.21029139  26.75127117  41.11857397  23.48321162 166.4236329 ]",13,0.12072384729796728,0.8792761527020327,0.5480912245909767,3900,90.64426240065836
6.80066250168654,11.79635602477787,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3656946954777744,164.7919613324412,300,"[ 32.21924578  46.99851865  29.02326953  34.47840202  36.33045181
  29.61153747  27.84102874  41.84818059  23.19288826 164.79196133]",14,0.11378284581060982,0.8862171541893902,0.5401586514625681,4200,88.35585546838657
6.8659407554131064,11.865901891670969,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3699623086443099,165.4702556215713,300,"[ 32.57040234  47.95669125  31.33745776  35.85945859  32.92707235
  29.68438909  28.67613454  40.68464165  22.57598016 165.47025562]",15,0.11948438274665345,0.8805156172533466,0.5416460089241447,4500,91.34648771641403
7.229103110332822,12.233493882898129,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3743919449517515,159.11393151911727,300,"[ 31.96693137  43.8237212   29.82263685  35.17674653  31.88359605
  29.24188278  26.94842565  40.92898814  23.39484457 159.11393152]",16,0.10708973723351513,0.8929102627664849,0.5230540406544373,4800,92.50925632051141
7.249669905731037,12.254549922110005,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3748811887654096,160.42044414134193,300,"[ 29.45722902  43.89784606  30.90915452  34.35622765  31.31383038
  30.5894083   28.49001602  39.39374262  24.27033499 160.42044414]",17,0.11700545364402579,0.8829945463559742,0.5250371839365394,5100,89.446357791772
6.919492433753192,11.921438788480717,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.37194752711396895,162.18057312054992,300,"[ 31.8697824   46.52972847  29.46846373  32.72941418  30.60349178
  29.62947595  29.6582726   41.37087064  24.2175252  162.18057312]",18,0.11998016856717898,0.880019831432821,0.5319781854238969,5400,92.6667827801923
6.730855648246659,11.731241303468781,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3703868276085774,167.68590661574405,300,"[ 32.02869346  47.01385968  31.17667044  32.14545003  33.53271123
  30.98117368  27.94514963  44.17498948  24.92122591 167.68590662]",19,0.1256817055032226,0.8743182944967773,0.548834903321765,5700,90.75346094202074
6.953620485400849,11.955155545604027,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.37153623258962687,164.23458815865934,300,"[ 29.58738087  43.1892696   31.38501365  32.06749963  33.21581818
  31.96597827  30.10253014  42.59182709  22.65310171 164.23458816]",20,0.12320277640059495,0.876797223599405,0.5386712940009916,6000,89.22011656484479
6.827761272375588,11.831413508588966,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3736534085998242,164.26966005700527,300,"[ 31.72206282  44.87124517  29.99853736  34.08867213  34.93406594
  30.20188589  27.90346075  41.78889698  23.14435403 164.26966006]",21,0.11923648983639068,0.8807635101636093,0.5394149727317799,6300,91.67818814713611
6.676943122142956,11.677660780052372,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3707188302958528,167.24826591107552,300,"[ 31.82264204  44.41344769  30.63705999  33.38246301  36.27602089
  31.08084254  30.76404751  42.69687956  23.77413587 167.24826591]",22,0.12097174020823004,0.8790282597917699,0.5480912245909767,6600,90.09670409015261
6.569934413593841,11.570524670076038,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3705914288686508,165.33552621698905,300,"[ 31.88679651  44.23869261  30.76290812  33.07464075  35.90703607
  32.17038072  28.93579367  41.63126776  24.89040855 165.33552622]",23,0.11799702528507684,0.8820029747149232,0.5399107585523054,6900,90.48427149728391
6.375429394535169,11.373273943797413,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3678457216486938,170.7720112575763,300,"[ 35.18867888  44.53226947  30.26902372  33.4522494   36.03535728
  32.44907075  31.0105156   43.46672658  23.39420269 170.77201126]",24,0.12394645513138325,0.8760535448686168,0.5589985126425384,7200,92.15892901244605
6.4284408824487915,11.425081238207863,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36664152814552187,168.118491531688,300,"[ 34.76599023  44.05890876  28.05949746  33.56876027  34.8730331
  30.43871991  28.28523749  44.83323995  24.58692341 168.11849153]",25,0.13262270699058007,0.8673772930094199,0.552057511155181,7500,87.06938308250054
6.694735982775473,11.690345154707321,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3656103443182954,166.00583807317557,300,"[ 31.28015299  44.10820029  29.30095527  31.45088363  37.4173199
  31.75459558  27.36926408  44.15159728  25.09132593 166.00583807]",26,0.12692117005453643,0.8730788299454636,0.5441249380267724,7800,86.90763241937746
